,tweet_id
422,1.251964643372753e+18
423,1.251964194020307e+18
424,1.2519637637852078e+18
425,1.2519632112779305e+18
426,1.251962137523769e+18
427,1.2519616775805133e+18
428,1.2519603724053832e+18
429,1.25196036113954e+18
430,1.2519600356572938e+18
431,1.2519594125012214e+18
432,1.2519588514583634e+18
433,1.251958709686698e+18
434,1.251958703344976e+18
435,1.2519579147024712e+18
436,1.2519569872411812e+18
437,1.2519563694831163e+18
438,1.2519555503944827e+18
439,1.2519554553598812e+18
440,1.251955318688551e+18
441,1.2519539537779712e+18
442,1.2519535863444644e+18
443,1.251952084871557e+18
444,1.251951878952321e+18
445,1.2519516942688297e+18
446,1.2519513536031252e+18
447,1.2773896184306565e+18
448,1.277382753663832e+18
449,1.2773813662255718e+18
450,1.2773681530441073e+18
451,1.277348265214849e+18
452,1.277348017977217e+18
453,1.277340552321786e+18
454,1.277329822285521e+18
455,1.2773254995225805e+18
456,1.2773219338230538e+18
457,1.2773194841523855e+18
458,1.2773132082237645e+18
459,1.277303882616582e+18
460,1.27729221368542e+18
461,1.2772817235002655e+18
462,1.2772785891683738e+18
463,1.2772778238588887e+18
464,1.277277122743034e+18
465,1.277272099002839e+18
466,1.2772615682506465e+18
467,1.2772612177492746e+18
468,1.2772539017340232e+18
469,1.2772460041406628e+18
470,1.2772448793751224e+18
471,1.2772421052287836e+18
472,1.2772395961709363e+18
473,1.277238653748564e+18
474,1.2772340612666614e+18
475,1.2772310350765343e+18
476,1.2772188086299935e+18
477,1.277216399295943e+18
478,1.2771920282464215e+18
479,1.2771883928711782e+18
480,1.2771865000405688e+18
481,1.2771793154117345e+18
482,1.277176211475624e+18
483,1.2771667150052844e+18
484,1.2771612790403236e+18
485,1.2771464913126932e+18
486,1.2771424675157445e+18
487,1.277138085009068e+18
488,1.2771301130631537e+18
489,1.2771296144486154e+18
490,1.2771215502448722e+18
491,1.2771187841894769e+18
492,1.2771128628764303e+18
493,1.2771091069989847e+18
494,1.2771084642553692e+18
495,1.2770905624960328e+18
496,1.2770896238150574e+18
497,1.2770840556415468e+18
498,1.277083956920402e+18
499,1.277083922573095e+18
500,1.2770820759720018e+18
501,1.277080793857192e+18
502,1.27705774684894e+18
503,1.2770493426001633e+18
504,1.2770468131204792e+18
505,1.30273518569651e+18
506,1.3027233389979116e+18
507,1.3027124743036396e+18
508,1.3026999200639468e+18
509,1.3026908626152817e+18
510,1.3026908402849915e+18
511,1.3026860510062838e+18
512,1.3026767362413322e+18
513,1.3026748716384625e+18
514,1.3026553870032855e+18
515,1.3026548232345068e+18
516,1.3026532216770888e+18
517,1.302651949037351e+18
518,1.302650924360495e+18
519,1.302649042867028e+18
520,1.3026467383863337e+18
521,1.3026445438047685e+18
522,1.3026351868870943e+18
523,1.3026331466351616e+18
524,1.3026328409039626e+18
525,1.3026327719579935e+18
526,1.302630759870673e+18
527,1.302619382644793e+18
528,1.3025844614695895e+18
529,1.3025826178674606e+18
530,1.302582339411882e+18
531,1.302576384213242e+18
